Stated.Income,Convert,,
"$100,000 - $125,000",112500,"$100,000 ","$125,000 "
"$60,000 - $70,000",65000,"$60,000 ","$70,000 "
"$90,000 - $100,000",95000,"$90,000 ","$100,000 "
"$30,000 - $40,000",35000,"$30,000 ","$40,000 "
"$10,000 - $20,000",15000,"$10,000 ","$20,000 "
"$40,000 - $50,000",45000,"$40,000 ","$50,000 "
"$50,000 - $60,000",55000,"$50,000 ","$60,000 "
"$80,000 - $90,000",85000,"$80,000 ","$90,000 "
"$150,000+",150000,"$150,000+",
"$0 - $10,000",5000,$0 ,"$10,000 "
"$70,000 - $80,000",75000,"$70,000 ","$80,000 "
"$125,000 - $150,000",137500,"$125,000 ","$150,000 "
"$20,000 - $30,000",25000,"$20,000 ","$30,000 "
